pid,question
1475,Please don't Dallas my Austin. Plan for more affordable housing.
1476,I wish living in Austin were more affordable so that my children could live here. They couldn't qualify for a home in Austin but were able to qualify and purchase a great size home in Ft. Worth.
1477,"One thing I didn't see reflected in the survey is public education, which is one of the most important things to me as a parent and one of the things that sets Austin apart from the rest of the state. Our schools are amazing and should continue to be a priority. Even with the challenges related to declining enrollment and the mismatch between where students and schools are located, I believe and hope we can continue to provide the best possible education to our kids. Beyond that, I hope Austin will continue to be a diverse, welcoming, thriving, progressive city. We are already a positive example for the rest of Texas in many ways, but there is much work to do related to affordability, transportation, expanded opportunities for all, and integration (or at least connectivity between citizens and neighbors). Austin always has been and I hope will remain the best city in Texas!"
1478,We need more affordable housing right now we have my daughter and her family living with us because they can't afford housing. Also improve disability services and independent living and job services for disabled.
1479,Look for private funding for public transportation. Open traffic calming program back up. Put more taxes on development not residents
1480,"Hi, Mr. Mayor,
I pay thousands in property taxes yet don't feel safe here at 3116 Corbin Lane. Crime is up and criminals abound. Look at the abundance of tagging here in South Austin. My family has our home in a trust for me, a gift from my late Mother. If not, we could not afford to live here. We love the police a whole lot. Councilman Renteria helped me get fencing from the Union Pacific RR -- $100k - 1500 square feet - running from Bannister Lane to Oltorf,  since rocks were being thrown into our home. It's a scary world with scary times. I applaud all you do for us and have always been a supporter. Yet, I do feel as though more needs to be done. Homeless camps by the Gillis Park are scary. Folks carrying weapons and making public drug deals, in the park. Why don't you let homeowners designate a portion of their property taxes to the school their kiddo attends? My eight-year-old attends Dawson Elementary School. I ought to be able to designate a portion of my property taxes to her school. Sorry for my rambling thoughts (smile). Happy weekending, Mayor. ~ Tricia Potyka and Miss Nevada"
1481,"I understand that it is hard to retrofit streets to accommodate bikes. I believe the  Texas heat makes biking to work uncomfortable. Stop taking my road space for bikes. Overall I am very happy to live in Austin, good thing I was born here, I certainly could not afford to move here."
1482,Better quality of living for all people!!!
1483,start doing some well thought out long term planning
1484,Please help make our roads less congested. Thank you!
1485,Austin has beautiful natural resources.  To help the citizens enjoy the outdoors the city should control the mosquito population.  Each household is taking it upon themselves to curb the population. As a result each household is spraying many different chemicals into the air with little to no results.  There's got to be a better way.
1486,"Stop being so liberal.  We should not be competing with San Francisco.  My daughter lives there, but grew up in Austin.  No sanctuary city, please.  I took the time to answer your survey, then you ask for personal information at the end.  I don't know who access to this stuff.  Very disconcerting."
1487,I love this city. I am very dissatisfied with the ems responders that attended to me  attitude. I am concerned about affordability as I enter retirement. Thank you mayor Adler for your support of f fairness to all. I appreciate you.
1488,Taxes and traffic are horrendous
1489,"It may be time to stop the rapid growth until the area has an infrastructure plan for current and near term population. The city is large enough that there is a serious lack of non-laughable public transportation, especially for people living south."
1490,"Home and housing affordability. Traffic and public transportation. Needs to be more transparent that city is trying to do better. 
Code NEXT is a joke."
1491,The exponential increase in the housing taxes for the city of Austin homeowners is simply unrealistic. I am paying mortgage here in housing tax than I used to pay in rent. This is not affordable living. I thought I would be saving money when I bought my home and now that is just not the case.
1492,"Set up a special Internal Affairs division composed of retired veterans with honors in combat and conduct, to field COMPLAINTS about police, deputies, politicians, clergy, etc. and provide the public with competent oversight recourse if this division fails them. Recourse MUST enable the public to then make a permanent RECORD with the Governor's Office at own volition, NEVER BLOCKED in any way by Internal Affairs, and the record must come up for review by a grand jury for prospect of prosecution by an independent prosecutor.."
1493,"Too much focus on proving low income services. 
Put social services and affordable housing away from downtown where there is reasonable grocery stores or transportation."
1494,"Promote city growth, but preserve unique culture and historic aspects of Austin as well as parks and recreation. Plan for traffic/city mobility. Get ahead of it. Find mass transit solutions for central Austin (elevated trains, light rail) and commuter rails between Austin and Houston, Dallas and San Antonio."
1495,"build roads, quit pushing empty busses and bikes."
1496,Help with traffic
1497,Change the billing system of Austin energy to allow for more time between receiving the bill and having to pay it. And flexible payment schedules.
1498,Better metro rail transportation
1499,Cost of living is outrageously high while city maintenance and services are low.
1500,Think further ahead. Plan for what my children and their children will experience as adults should they choose to stay here.
1501,Would like more transportation options besides bus connecting downtown to the rest of the city
1502,TRAFFIC CONGESTION. TAXES AND AFFORDABLE HOUSING
1503,"I would tell Mayor Adler that I appreciate his support for the ""Freedom City"" initiative."
1504,Keep working on traffic congestion and homeless support
1505,"Making changes to the efficiency of the planning and zoning department might help (not solve) the cost of housing in Austin. Taxes must be reduced and with more people to spread the costs to it should be achievable.  Although there are advantages to creating more downtown for visitors who help economy, those of us in the remainder of the city feel as though we finance it.  Further expansion of downtown needs a transparent plan of repayment from the people using it."
1506,Work on traffic congestion and the timing of lights.  Work on affordable housing.
1507,"The quality of the streets, street lights, and sidewalks are very poor unless you live in very rich areas of town. I am able to drive outside of my neighborhood to access nicer parts of town which is a pain but I can do it. For many of the neighborhood children, that is not possible and they simply don't play outside. Please, please fix the quality of those three things in areas like mine."
1508,Safety in the neighborhoods
1509,"STOP favoring developers over citizens!  Density is not the answer to affordability as this is dismissive of people's quality of life  earning less than $65K to force them to live in 450 sq. feet or 60-90 minutes away (one way). l The city has become economically segregated with expensive transportation costs and there is no protection for long-time homeowners to retire here.  The Mayor seems to champion policies that work for him and others in his socio-economic status while enriching real estate professionals at the cost of us people earning less than $65K per year ... my quality of life is OK but I cannot travel, I cannot go out to eat at a restaurant that is more than $10, and I cannot afford to attend activities in our public park that are more than $5.   Large commercial businesses should pay their fair share of property taxes and SHOULD NOT get incentives like tax breaks."
1510,"Telephone staff should be friendly and knowledgeable in order to help customers. If they don't know the answer, find someone who does; transfer the customer but give them the direct dial # should the connection be lost. Excellent telephone etiquette will introduce the City of Austin to new and existing citizens and a friendly voice goes a long way towards good relations."
1511,"I'm a Realtor and driving around Austin is difficult. I find myself stuck in traffic more and more. I understand that we have had a huge influx of people, but there should have been a plan in place for how to handle it. Turning road lanes into bike lanes is NOT the answer. Expecting people to somehow get to their metro stop that doesn't have parking and is too far to ride a bike is ridiculous.  I live in Great Hills. My Metro stop is at Kramer. Many people who live near me, work downtown and would be willing to take the Metro if there were a way to easily get there-or have a place to park their car."
1512,areas needing improvement: traffic congestion; homeless services
1513,Traffic flow is a real problem
1514,"Water cost is out of control, TOO High"
1515,"The east side needs more attention to its parks, pools, sidewalks, and roads."
1516,Coyotes are A MENACE.
1517,WORK WITH SURROUNDING CITIES
1518,TRANSPORTATION THRU THE CITY IS DIFFICULT.
1519,PLEASE CONTINUE TO SUPPORT AUSTIN PUBLIC SCHOOLS AND THE ARTS.
1520,Plan for growth and traffic.
1521,I WOULD LIKE TO OWN A HOME ONE DAY. NOT CERTAIN IF WE WILL BE ABLE TO AFFORD IT HERE.
1522,"RAPIDLY GROWING SENIORS NEED VISIBILITY WITH SERVICES, ESPECIAL THE LGBT CITIZENS."
1523,"please continue to seriously consider the environment when planning for Austin's future. more green spaces and more policies that incentives both residential and commercial, recycling and conservation of natural resources.  thank you"
1524,"MORE EFFICIENT WAYS OF DEALING WITH THE RAPID GROWTH, FREEWAY EXPANSION?  TRAFFIC ON LAMAR MOST TIMES OF DAY IS MORE CONGESTED THAN NECESSARY DUE TO CONSTRUCTION."
1525,I ENJOY THE 10 ZONES IN AUSTIN. COUNCIL PERSON IS VERY ATTENTIVE TO ISSUES . ANN KITCHENS RESPONDED IN A PROMPT MANNER.
1526,BALANCE DEVELOPMENT WITH ATTENTION TO TRAFFIC. MAKE MORE LIGHTS SMARTER.  CITYWIDE COMPOSTING NEEDED. WE NEED LIGHT RAIL.
1527,I 35 IS A MESS. NEED BUS SERVICE IN ONION CREEK
1528,FIX TRANSPORTATION SYSTEM. REDUCING SPENDING ON SCHOOLS. REMOVE THE HOMELESS. FINE LITTERERS. PROMOTE ANI- LITTERING.
1529,YOU ARE LOSING THE CULTURE OF AUSTIN BECAUSE OF GENTRIFICATION.
1530,THE MAIN ARTERIES SHOULD BE REPAIRED IN SOUTH AUSTIN. WE NEED COMMUNITY SOLUTIONS FOR THE HOMELESS POPULATION AS IT RAPIDLY GROWS BEYOND CONTROL.
1531,"REDUCE POPULATION GROWTH RATE, TOO MUCH TRAFFIC"
1532,PLEASE BE REALISTIC WITH TAX DOLLARS. THINK ABOUT WHAT IS REALLY NEEDED. SELLING PUBLIC LANDS IS NOT A GOOD THING.
1533,"Transit, transit, transit! Additionally, cars don't like to give the right of way to walkers, joggers, or bikers (even if they have the pedestrian light). It's bad. I could literally keep a journal of close calls."
1534,"The longer real estate in Austin remains like this, the more likely Austin will become a city that loses its soul. Even for a household with our income, buying a property seems unattainable and rent isn't too far behind."
1535,"I need to be educated on my city and how I can serve 
Where would I go for a good general orientation?"
1536,Sidewalks are very important for the inner city/downtown.
1537,"Affordable housing, Austin is turning into a town where you have to be a millionaire to have a good quality life. Access to health services."
1538,Get downtown traffic moving.
1539,There are not enough affordable senior living facilities.
1540,The amount of construction on both high volume roads and residential is horrible. The new pavement shoots pebbles everywhere.
1541,"Fix the traffic on Mopac, 290, & 360. Less lights and bike Lanes, more car Lanes. Add public transit along all of 360 and turn it into a freeway. Add public transit South of Slaughter Lane between Mopac and 35. Finish the 45 toll road to 35 in South Austin. Transportation is so far behind here. Please continue to focus on getting us caught up. Beneficial light rail route options would be nice."
1542,PROMOTE DIVERSITY AND MAKE ALL AREAS OF AUSTIN SAFE.
1543,GET TAXES UNDER CONTROL. WHERE IS ALL THE MONEY GOING?
1544,Be fair to ALL constituents. Austin is NOT California.
1545,"Traffic is the 4th worst in the country, it needs professional services on how to manage. The soccer stadium needs to be built outside of the city."
1546,Support creative public transportation.
1547,Make the permitting process for construction more efficient.
1548,"TRAFFIC PLANNING, MORE LIGHT RAIL WOULD BE HELPFUL"
1549,DECISION MAKING AND PLANNING IN THE CITY HAS BECOME TOO SHORT SIGHTED. NEED A FAR SIGHTED VISION TO PRESERVE WHAT STILL SPECIAL ABOUT THIS CITY.
1550,"TOO MUCH TIME AND MONEY SPENT TO SATISFY MINORITY NEEDS. MORE EFFORT SHOULD GO TO MAJORITY NEEDS, TRAFFIC, GROWTH MANAGEMENT."
1551,"I think for those of us living here for a long time, it feels like the new, the money, the growth, the change are all more important to any type of preservation of our city and its ability to run smoothly or well.  Growth is good and inevitable, but growth without regard to how it will be managed in an appropriate way is not.  Rising property taxes and affordability of housing is terrifying. I would never be able to qualify for a house today in the city I have been in for 17 years.  I don't want to be pushed out but as my kids grow up and my income doesn't go up, I may be forced to leave.  Then what?  I am a white middle class person and grieve over those we have pushed out downtown in situations more dire than my own."
1552,"East West thoroughfare. It's about time some home owner's did the right thing & quit complaining or stopping what makes sense. We are going to grow so plan for it! 
Quit paying corporations. The soccer field out at triangle area off 183 was a Trump-like fiasco of money or common sense. The codes are so hard to follow, so serpentine in trying to find  - what, which, how, where in which neighborhood, garage set backs so that now we have so many carports & no garages? trees, Good grief, common sense."
1553,Accessing Mopac  from SW Parkway can take 5 min or 40 min depending on time of day.  BOTTLE NECKING and timing of lights
1554,MORE COMPETITION FOR UTILITIES.
1555,Keep up the good work on cleanliness.
1556,"I left Houston for a better quality of life, and to one day raise a family here. Cost of living and transportation issues make it seem less possible here."
1557,Practical train system
1558,We need roads.
1559,Fix zoning
1560,Make housing more affordable.
1561,Traffic is the biggest issue.  Fix it or at least address it!
1562,"coa has been behind the curve on the roadway system for years, please visit other cities that have more efficient roads to try and stay ahead of the problem"
1563,Make the city cleaner.  Send the homeless to areas where they are off the freeway and roads.
1564,"property tax are killing me, bought my house $25000/year now $12,500 year, not to provide me services but to subsidize everyone else, water, electric costs are outrageous, city govt only represents tax many consumer/never tax payer"
1565,1. EAST AUSTIN RESIDENTS SHOULD NOT BE DRIVEN OUT OF THEIR COMMUNITY. 2. LIGHTS NEED TO BE INSTALLED  - IT IS TOO DANGEROUS TO BE ALONE IF YOU ARE A RUNNER.
1566,QUIT SPONSORING IRRESPONSIBLE LIFESTYLES.
1567,"no mention of AISD? very concerned on environmental long term impacts of our city, increasing impervious cover unnecessary ways, creating lifestyles dependent to high emissions, laws against grey water to minimize water/wastewater"
1568,"MAYOR AND COUNCIL ARE VERY IDEALISTIC, NOT REALISTIC. THEY DO NOT UNDERSTAND PEOPLE WHO WORK FOR A LIVING. BIKES ARE NOT A REASONABLE MODE OF TRANSPORTATION FOR MOST PEOPLE."
1569,WE NEED TO DEAL WITH THE TRAFFIC.
1570,need to establish rent control
1571,WHY DO YOU ALLOW DEVELOPERS LIKE THE ONES ON BULL CREEK TO MISLEAD THE PUBLIC ON WHAT THEY PLAN TO DO? TRAFFIC ON BULL CREEK WILL BE ATROCIOUS AND IT IS A MAJOR COMMUTE ROUTE. WHY DO YOU SUBSIDIZE DEVELOPMENTS LIKE THE DOMAIN AND THEN COMPLAIN WHEN THEY BEGIN TO TAKE AWAY BUSINESS DOWNTOWN?  AUSTIN FEELS LIKE IT IS RUN BY CLOWNS.
1572,WE NEED TO FIX THE HOMELESS PROBLEM.
1573,CITY SERVICES ARE IMPRESSIVE GIVEN AUSTINS' EXPLOSIVE GROWTH BUT LACK OF SUFFICIENT AFFORDABLE HOUSING IS BECOMING MORE OF AN ISSUE.
1574,AUSTIN IS SLOWLY BECOMING A CITY I DO NOT RECOGNIZE.
1575,FIX TRAFFIC CONGESTION INFRASTRUCTURE CANNOT KEEP PACE WITH THE AMOUNT OF PEOPLE MOVING HERE. FIX 360 CONGESTION ASAP.
1576,"Stop uncontrolled growth, improve traffic light timing and traffic flow."
1577,PANHANDLING SPOTS FOR TRANSIENT PEOPLE ALSO RESEARCH BLVD 183 HWY BETWEEN N LAMAR BLVD AND I-35 HWY.
1578,YOU SEEM TO BE DOING A GOOD JOB. ESPECIALLY COMPARED TO THE REST OF TEXAS. PLEASE WORK ON PUBLIC TRANSIT.
1579,"FIX THE TRAFFIC PROBLEM, PUBLIC TRANSPORTATION. QUALITY OF ROADS. TIMING OF LIGHTS. SPEED OF CONSTRUCTION PROJECTS."
1580,Please work to improve public transportation and improve bike safety on public streets.  Sidewalks would be great!  Faster permitting and inspections-Please!
1581,"More wide reaching public transport please! This will allow young people greater independence without having to have a car, therefore increasing safety too! If there were buses that took me out and to work, I would rarely drive my car."
1582,"The affordability of housing needs to go down. It's very expensive to live here. I make a decent wage, but when you support other people, it's still not enough to buy your own home. Houses in my neighborhood used to cost $175,000 when I first moved here, now they are upwards of $300,000. I hope to own a home soon, but at this rate I will probably keep renting."
1583,bring safety to montopolis improve crime rate for most crime rate area in Austin
1584,Affordable housing to buy.
1585,"I wouldn't live anywhere else in Texas, but we really need to do something about mobility in the south. I know it's coming but after 17 years I'm starting to lose hope I'll see it in my lifetime. Sidewalks would be nice and if it's not too much to ask for, please don't make the road smaller to put one in on one side of the street, I'd rather go without if that's the case, with all the big trucks in this city the streets are tight enough already. Thank you,"
1586,We need a comprehensive plan/vision for managing the growth of this city!
1587,"Mental health is real, our facilities are substandard and are not recommended by local professionals, and someone needs to be accountable. These people need real help, not just a band aide and to end up on the streets."
1588,URBAN DENSITY DOESN'T WORK IF THE TRANSPORTATION INFRASTRUCTURE CANNOT SUPPORT IT.
1589,"many lower income people who have been a major part of the Austin culture service industry, artists, musicians are moving away I seem to get a  going away party every  week, it will only be a matter of time before Austin will only be the technology companies we gave incentives to but no  character"
1590,I am happy to live in such a culturally diverse and stimulating city.  We need more affordable housing and a fully staffed police/fire/EMS service.  In retirement I will be forced to move to find better resources to housing and safety.
1591,BE TRANSPARENT
1592,"The City and council is making it too expensive to live here.  I am not just talking about housing.  Forcing small businesses to pay for sick-leave, they will have to raise prices to compensate for this, passing the cost on to us-the consumers."
1593,"The homeless ""population"" is a real problem on my street.  I live on Rundberg and they are aggressive."
1594,KEEP AUSTIN GOING
1595,THE 3 THINGS THAT ARE MOST IMPORTANT TO AUSTIN'S VIALITY ARE TRANSPORTATION ENVIRONMENT AND EQUITY
1596,"Lack of mass transit for the masses.  Making Austin affordable for the masses(food, housing, healthcare, city utilities, re-distribution of wealth."
1597,I THINK OVERALL THE CITY IS DOING A GOOD JOB.
1598,"CONCENTRATE ON PEOPLE THAT DO NOT RIDE BIKES, AS WELL AS SENIOR CITIZENS."
1599,BE TRANSPARENT. THIS COULD START WITH AN AUDIT OF CODE NEXT CONTRACT. IT IS A SCANDAL THAT THE CITY PAID SO MUCH. WHY DID THE COUNCIL OR SOMEONE NOT DO DUE DILIGENCE.  THE ENERGY EFFICIENCY AND LANDSCAPING MATERIALS AVAILABLE FROM THE CITY ARE THE BEST I HAVE EVER SEEN.
1600,"Cost of living is too much!  Food, rent, the traffic - all the things we spend extra money and time doing that prevent us from enjoying life.  I shouldn't have to work 2 jobs and 75 hours a week so I can spend 2 hours a day with my kid because this city has gotten so darn expensive.  It wasn't like this when I moved here.  It's only getting worse and the rich, out-of-towners who are just now moving here are the one's causing the inflation of everything here including tofu!  It's ridiculous.  The city is pretentious and not the city I feel in love with.  The only ""weird"" thing about Austin is that a 1 bedroom apartment is over $1200/month."
1601,TRAFFIC improvements
1602,Figure out the traffic before we keep inviting business and more people here to live.
1603,"GREW UP IN AUSTIN AND NEVER HAVE I SEEN A CITY GO FROM BEAUTIFUL TO A CITY COVERED IN TRASH LAND OVERGROWN COMMON AREAS, THE RIDE FROM THE AIRPORT SAYS IT ALL, I HAVE BEEN TO MANY BIG CITIES INCLUDING A RECENT TRIP TO WASHINGTON DC THEY SEEM  TO TAKE MORE PRIDE IN KEEPING THEIR CITY CLEAN. FIRST THING I NOTICED IS THE RIDE FROM THE AIRPORT WHAT A HORRIBLE FIRST IMPRESSION WE ARE GIVING WHEN DID IT BECOME OKAY FOR THE PEOPLE HERE TO LIVE IN SUCH DIRTY CITY"
1604,"QUIT WASTING RESOURCES ON FAR LEFT POLICIES, SANCTUARY CITY, LAWSUITS AGAIN ICE AND THINGS SUCH AS CODENEXT."
1605,"Work better with TxDOT to improve major roads. ALSO get Government (State, Local, County) to begin real telework programs."
1606,Property taxes are outrageous.
1607,Concentrate on doing a great job at basic services.
1608,I'm really worried about affordable housing and preserving African American neighborhoods/diversity.
1609,"Keep Austin clean, affordable, and weird."
1610,"Austin traffic and transportation options are stopping us from becoming a world class city. Please help! Ok 2 things, please do everything you can to keep Austin's art and music scene alive despite how expensive the city is becoming."
1611,"The quality of life in this city SUCKS! In case you missed it before, I am an Austin native.  This actually used to be a nice place to live - years ago - but city administration has been so piss poor that there has been no master plan to keep this a nice place to live.  The developers own this city, and me an my fellow citizens have to pay for all the crap that they build with my tax dollars.  The condition of the roads is awful, traffic is awful.  I hate it here...........but I do have a plan to get out, and I will.  Don't ever give anyone in city administration a raise - they don't deserve it.  You do an awful job and should be ashamed."
1612,FIX THE PUBLIC SWIMMING POOLS!
1613,"Austin is a miserable excuse for a city. Everyone was asleep at the switch until the 1990s...no planning, no effort to see the future...and we were caught with our pants down for transportation and other infrastructure. Then the 90s came and greed/growth exceeded all else. Still no effort to improve transportation/infrastructure and the era of Will Wynn saw us give away the farm even more to developers. Now we're overcrowded and everything that was special about Austin - everything you've been selling to the outside world for 30 years is trashed. You can't go to Zilker Park anymore because it's been sold to special events most weekends of the year. And when you do go you have to pay to get in, pay to park. You can't go to the green belts or trails because they're just too crowded. Music is dying a rapid death because you put all the stinking condos downtown and decided the clubs were too loud, then the inflated land values doomed the nightclubs, and our ridiculous cost of living has further doomed the musicians. ""Live Music Capitol of the World"" is not just a joke, it's a downright lie. City government is directly responsible for destroying the music scene. And Code Compliance, Jesus, find that news report about Code Compliance showing up at that guy's house, in force, in kevlar vests, with cops in tow, all because he built a shed too close to the property line. And that insane response the city had to that poor schmuck who dug tunnels under his house. That's what Austin has become - taxes, ordinances, intrusion and suppression."
1614,We don't want that stupid soccer team!
1615,"Need to be more inclusive of all races. The divide and lack or racial diversity is painful in Austin. Also, traffic SUCKS!"
1616,Please work to make Austin  affordable!!
1617,"Please finds ways to improve public transit later at night, and/or loosen regulations on neighborhood bars and restaurants to serve alcohol, as it's created a culture where meeting for drinks is usually centralized in a few, highly populated areas, with few reasonable transit options available to avoid drunk driving."
1618,Homeless people  sleeping on the streets and underpasses.
1619,GIVE RETIRED RESIDENTS MORE FINANCIAL BREAKS.
1620,"More public transportation options from north Austin towards UT/downtown, please."
1621,I FEEL THERE SHOULD BE MORE SERVICES ALL AROUND THE CITY FOR HOMELESS PEOPLE.
1622,"Publish the city budget, be honest, and do not hide anything."
1623,Improve the transportation infrastructure and find a way to lessen the property tax on people who feel like they are funding everything.
1624,TAXING OWNERS OUT OF THEIR HOMES TO RELOCATE OR BE HOMELESS.
1625,More red line rail stops and bus routes that intersect with stops are crucial.
1626,RE-THINK STARTING A LETTER UNDER MY LEADERSHIP
1627,Slow down new development and new residents.
1628,The soccer thing should have been at Burger Stadium.
1629,"Stop the panhandlers, it's not safe."
1630,Less focus on growth and bringing in new businesses.  Stick to a reasonable budget.  Improve infrastructure for vehicles.
1631,"I grew up in Austin, I still love Austin (and am proud to be a resident), just starting to worry about affordability and traffic.  I know how difficult these are to address, so any efforts are appreciated.  Better public transportation is a good start!"
1632,"Don't punish supervisors just because they didn't spend ALL the money they budgeted in the FY. The comment I was told was, Since you didn't use it you don't need it all so I'm cutting your budget."
1633,THANK YOU FOR YOUR PUBLIC SERVICES YOU HAVE A DIFFICULT JOB. PLEASE CUT PROPERTY TAX RATES AND ANNUAL REVENUE GROWTH TO THE EFFECTIVE RATE.
1634,"The city is much larger than the vocal residents of Hyde Park. Growth should not be scary, but it will be if small, moneyed residents are able to curb it at every turn. Go Austin FC! Don't let the council defeat the stadium initiative."
1635,Invest more in our teachers and education system in Austin.
1636,Cost of living is higher than most salaries. It degrades the quality of life.
1637,Improvement in the way regular transit staff treat disabled people.
1638,Quit raising taxes every year.
1639,Lower taxes and improve traffic.  Stop taking turn lanes and turning them into bicycle lanes.
1640,PLEASE DON'T RAISE PROPERTY TAXES BECAUSE WHEN I CAN AFFORD TO BUY A HOUSE I DON'T WANT HIGH TAXES.
1641,Let the people vote when you plan to change the quality of their lives.  No behind the door deals!
1642,"With the influx of people moving here, we need to make sure drivers are being SAFE!  You have to wait 20 seconds before going through an intersection to let all the red light runners through (my previous daily commute - 290 W and William Cannon intersection).  Let's enforce the rules we have in place."
1643,IT SEEMS THE CITY'S ATTENTION IS FOCUSED ON THE HAVE'S WELL OFF AND THE HAVE NOT'S LOW INCOME.
1644,"Fix the transportation issues now, not 6 years from now.  Projects and process takes too long.  See prior comments."
1645,Get a mobile office and travel the city. They could be exposed to real time problems while continuing to work with digital communication. This would speed up solutions.
1646,Make 35 underground.
1647,AUSTIN IS BECOMING A BORING AND HAND TECH CITY.
1648,Love this city!
1649,"Consider neighborhoods and communicate with neighbors when developers build. Our street is so old, it cannot handle the volume of traffic now."
1650,PLEASE! STOP RAISING PROPERTY TAXES!  I can't hold on much longer.
1651,RECYCLE WEEKLY
1652,Build more roads and hire more police.
1653,People making less money should be able to buy homes in the city.
1654,"Rename I-35, from 290 to Ben White, Willie Nelson Hwy.  It would add charm to that stretch of highway.  Then the city could run an add campaign called ""Spending' time with Willie!, so then people would think it is cool to get stuck in traffic!  Rename lower deck to ""Outlaw Country Dive"".  Rename upper deck ""Stevie Ray Way"".  You are Welcome!  I love my city and all the city employees.  Keep up the great work!"
1655,We need a better code process.
1656,THE BIGGEST CHALLENGE FACING AUSTIN ACCOMMODATING GROWTH. DEVELOPMENT CODES MUST ALLOW FOR URBAN DEVELOPMENT.
1657,Please improve Mass Transit.  We need access to the rail on the east side.  We do not have any at this time.
1658,QUICKER DSD PERMIT REVIEWS AND MORE CITY INSPECTIONS.
1659,PLEASE TRY TO DO WHAT IS RIGHT FOR THE CITY CONSIDERING AS MANY VARIABLES AS POSSIBLE AND OVER ALL FAIRNESS OF THE DECISION.
1660,Austin is too socialistic. Too concerned with giving things away. Property taxes are too high.
1661,Please address the affordability of living in Austin.
1662,"(1) Lanes for scooters. (2) Expand rail system (time and location) and more affordable. (3) City does not accessible handicap spots, maintenance for wheelchairs. (4) Rent is excessive."
1663,Mental health training for police.
1664,FOCUS ON FUNCTIONS CITY EXISTS TO PROVIDE.
1665,Keep Austin safe. Don't let our city be another San Francisco or Portland.
1666,"Provide more aggressive traffic calming on Scenic Brook Drive in Oak Hill. The existent speed bumps are insufficient. Stop cut through traffic. Children, walkers, animals, and bicycles are put at risk."
1667,PLEASE CLOSE THE AUSTIN REC CENTER TO THE HOMELESS AND THOSE WHO DO NOT PAY FOR PROGRAMS. PLEASE DISCONTINUE THE PRACTICE OF ALLOWING PUBLIC SHOWER HOURS AT REC CENTER. PLEASE CREATE AND ENFORCE A NO LOITERING LAW AT CITY FACILITIES. I DO NOT FEEL SAFE AND I AM LOSING CUSTOMERS BECAUSE OF THIS ISSUE.
1668,STOP THE BUSES FROM WAITING BLOCKING THE ROAD TO PICK UP AND DROP OFF RIDERS OR TO GET BACK ON SCHEDULE.
1669,ENCOURAGE BUSINESSES REBATES OR SUBSIDY TO WORK FROM HOME.
1670,"LACK OF EQUALITY REGARDING HISTORY AND ETHNIC GROUP HISTORY, GIVING IN TO PRESSURE TO JUST EITHER GET THEM OFF YOUR BACK OR LOOKING TOWARD VOTES ."
1671,"AUSTIN NEEDS TO CONTINUE TO BALANCE GROWTH WITH THE QUALITY OF LIFE AND RESOURCES, AS WELL AS WITH ITS ABILITY TO RETAIN ITS CHARACTER."
1672,"STOP RAISING TAXES. PAY ATTENTION T OUSE. GET THEM TO REVISE ROBIN HOOD, IT IS KILLING TRAVIS COUNTY."
1673,WE NEED TO DO A BETTER JOB OF SUPPORTING THE HISTORICAL RESIDENTS OF EAST AUSTIN.
1674,Traffic.
1675,PLEASE FIND WAYS TO ENSURE THE CITY IS AFFORDABLE FOR THOSE WHO HAVE LIVED HERE THE LONGEST TO STAY AND MAINTAIN THEIR LIFESTYLES. FURTHER SCRUTINY OF HOUSING DEVELOPMENT COMPANIES AND PROJECTS AND MORE RESTRICTIONS ON THE HOUSING OPTIONS THEY CREATE IS ESSENTIAL.
1676,PLEASE CONTINUE EFFORTS TO DECREASE PROPERTY TAXES.
1677,Consider the future and if people will be able to afford to live here.
1678,"FOCUS ON BASIC RESPONSIBILITIES OF GOV'T, NOT ADVANCING SOCIAL AGENDAS. TREAT ALL FAIRLY WITHOUT VILLIFYING SEGMENTS OF THE POPULATION. FOR EXAMPLE: POLITICAL GRANDSTANDING BY ANN QUNCINA INTENT NOT TO ATTEND VETERANS DAY PARADE WAS CLASSLESS."
1679,START TO SOLVE THE TRANSPORTATION PROBLEM-WORKING HIGHWAYS OR ADDING OVERPASSES AT CHOKE POINTS WON'T ACCOMPLISH A SOLUTION.
1680,Get rent under control.
1681,"Do not meddle in the affairs of other cities, and do away with your sanctuary city status."
1682,Get property taxes under control.
1683,IMPROVE TRAFFIC AND REDUCE TAXES.
1684,Please approve the police contract favorable to the stresses the police face. .
1685,NO to sanctuary city!!!
1686,Quit raising property taxes.
1687,There is a high to homeless assistance in South-East Austin. Large homeless camps under overpasses and on every street corner bring down property value and deter tourism.
1688,Build soccer stadium at McKala Place.
1689,Stop incentivizing growth and density.  Put Code Next through the shredder.  Get rid of parking meters being installed off trails by Austin High.
1690,Stop putting planters in the middle of the street. Trying to make people get out of their cars and walk and ride a bicycle really doesn't work in Texas and besides Texans love their trucks!
1691,Reduce city taxes!!!
1692,"Stop/limit building of ""luxury"" apartments/condos/homes - focus more on safe, stable, clean structures that the middle class can afford that aren't in Kyle or Buda.  A two bedroom home is not affordable when it costs $300,000 plus.  Tech is great, but you need blue collar and other occupations to maintain the infrastructure of the city.  Those occupations are vital for day to day operations, yet those in a field where salaries are less than 50-60,000 have limited ""affordable"" living options that don't require a long commute on our overcrowded roads and poor public transportation system."
1693,Improve traffic flow!!!  Eliminate paid street parking at lakes and parks.
1694,FIX HOMELESS PROBLEM
1695,He has done a great job!  Is accessible.  Thank him for his service.
1696,lower our water and wastewater costs!
